Meses desde 09-18,Fecha,Toneladas diarias,Valor a pagar
6,03/19/,0.21301775147929 +- 0.00242992222394886,0.301775147928994 +- 0.00272421508791394
7,04/19/,0.0050761421319797 +- 0.000361660152222892,0.0050761421319797 +- 0.000361660152222892
8,05/19/,0.00444444444444444 +- 0.000296296296296296,0.0001491244452 +- 0.000456630152797106
9,06/19/,0.0316205533596838 +- 0.000693021939368762,0.0316205533596838 +- 0.000693021939368762
10,07/19/,0.0391459074733096 +- 0.000691416483718614,0.0249110320284698 +- 0.000555630152797106
11,08/19/,0.0129449838187702 +- 0.000366409595113715,0.0258899676375405 +- 0.000514772293500858
12,09/19/,0.249258160237389 +- 0.00128553946485622,0.373887240356083 +- 0.00143784479696449
13,10/19/,0.147945205479452 +- 0.000974063087537402,0.304109589041096 +- 0.00126208428527805
14,11/19/,0.269720101781171 +- 0.0011307380896955,0.447837150127226 +- 0.00126693502259984
15,12/19/,0.299287410926366 +- 0.001089051685727,0.415676959619952 +- 0.00117203016367512
16,01/20/,0.287305122494432 +- 0.00100893067385805,0.452115812917595 +- 0.00110970375092989
17,02/20/,0.339622641509434 +- 0.000993874937707309,0.373165618448637 +- 0.00101499651336076
18,03/19/,0.0495049504950495 +- 0.000429970131394007,0.203960396039604 +- 0.000798691943167593
19,04/20/,0.187617260787992 +- 0.000733157562200372,0.0337711069418387 +- 0.000339229207193803
20,05/20/,0.0909090909090909 +- 0.000512899021716891,0.281639928698752 +- 0.000802495787125433
21,06/20/,0.0118845500848896 +- 0.000184140325757069,0.242784380305603 +- 0.000728574291877678
22,07/20/,0.0729335494327391 +- 0.000421780181294105,0.142625607779579 +- 0.000567219391929443
23,08/20/,0.0914728682170543 +- 0.000447293212730689,0.235658914728682 +- 0.000658510566362331
24,09/20/,0.219910846953938 +- 0.000615890175685299,0.561664190193165 +- 0.000737818728591811
25,10/20/,0.126961483594864 +- 0.000475274668322437,0.169757489300999 +- 0.000535931058347477
26,11/20/,0.150891632373114 +- 0.000491342900182854,0.596707818930041 +- 0.000673381702852505
27,12/20/,0.523117569352708 +- 0.000660231858781016,0.737120211360634 +- 0.000581887356386414
